date,product,region,sales_rep,revenue,units_sold,customer_rating,discount_pct
2024-04-10,Phone,South,Bob,32382.65,9,4.2,
2024-04-11,Phone,South,Carol,26953.22,45,4.7,15
2024-04-12,Tablet,South,Bob,32140.27,36,5.0,
2024-04-13,Laptop,East,Alice,50900.44,43,3.8,18
2024-04-14,Watch,East,Carol,25837.33,20,4.7,11
2024-04-15,Phone,East,David,41739.09,18,4.5,18
2024-04-16,Headphones,West,David,62197.92,43,4.1,
2024-04-17,Phone,North,Eve,56735.16,21,4.9,8
2024-04-18,Headphones,East,Bob,42042.39,4,3.4,6
2024-04-19,Tablet,North,Carol,75345.36,33,3.2,13
2024-04-20,Headphones,West,Eve,78395.55,27,4.7,28
2024-04-21,Watch,South,Carol,50391.84,7,3.9,
2024-04-22,Laptop,East,Bob,12971.86,6,4.7,18
2024-04-23,Headphones,North,David,63296.72,15,4.8,
2024-04-24,Headphones,North,Alice,15590.35,18,3.1,8
2024-04-25,Laptop,East,David,72142.19,32,4.8,
2024-04-26,Watch,South,Eve,66253.77,11,3.9,14
2024-04-27,Phone,South,Alice,76613.19,20,4.0,2
2024-04-28,Headphones,South,Eve,53903.98,24,4.3,10
2024-04-29,Laptop,West,Bob,44579.21,15,4.9,20
2024-04-30,Tablet,North,Alice,43248.48,48,3.0,13
2024-05-01,Laptop,North,Eve,41806.1,7,4.0,29
2024-05-02,Tablet,North,Bob,64716.03,21,4.4,
2024-05-03,Watch,West,David,60684.07,42,4.4,7
2024-05-04,Phone,North,Bob,51803.38,26,4.4,
2024-05-05,Laptop,West,Carol,39167.28,44,3.3,18
2024-05-06,Headphones,South,Bob,89438.19,14,3.6,15
2024-05-07,Watch,East,Bob,63685.62,37,3.7,1
2024-05-08,Laptop,North,Carol,26034.32,21,4.6,
2024-05-09,Headphones,North,Eve,42256.16,18,3.6,21
2024-05-10,Laptop,South,Eve,63976.64,5,3.4,5
2024-05-11,Tablet,East,Bob,38006.92,3,4.9,11
2024-05-12,Laptop,West,Carol,55273.22,23,3.0,14
2024-05-13,Laptop,East,Carol,64261.94,26,5.0,24
2024-05-14,Laptop,South,David,-826.42,37,4.4,
